Date,Open,High,Low,Close,chance_price,percent_change,Volume
2024-05-21,48100,48200,47050,47200,-1000,-0.02,11258500
2024-05-20,48442.45,48975.86,48054.53,48200,-50,0,11449601
2024-05-17,48248.49,48490.95,48151.51,48248.49,-150,0,6610750
2024-05-16,47036.22,48442.45,46939.24,48393.96,1800,0.04,21363102
2024-05-15,46454.33,46696.78,46308.85,46648.29,200,0,10026100
2024-05-14,46987.73,46987.73,46405.84,46454.33,-500,-0.01,8835800
2024-05-13,47036.22,47181.69,46551.31,46939.24,-100,0,12644800
2024-05-10,47327.16,47327.16,46454.33,47036.22,50,0,7979300
2024-05-09,47133.2,47424.14,46357.34,46987.73,250,0.01,11035237
2024-05-08,46454.33,47715.09,45872.43,46745.27,300,0.01,15386300
2024-05-07,46890.74,46890.74,46260.36,46454.33,-450,-0.01,10341800
2024-05-06,47036.22,47230.18,46454.33,46890.74,150,0,13377500
2024-05-03,46066.4,47327.16,45969.42,46745.27,1350,0.03,14679567
2024-05-02,45387.53,45533,44951.11,45436.02,250,0.01,4507700
2024-04-26,44611.67,45484.51,44272.23,45193.56,450,0.01,10536390
2024-04-25,45581.49,45581.49,44417.71,44757.14,-850,-0.02,9235596
2024-04-24,45387.53,45629.98,44999.6,45581.49,800,0.02,10845831
2024-04-23,44126.76,46066.4,44126.76,44805.63,950,0.02,16462900
2024-04-22,43981.29,44320.72,43544.87,43884.31,750,0.02,7066300
2024-04-19,42672.03,43302.41,42041.65,43156.94,-350,-0.01,15127400
2024-04-17,44126.76,44223.74,43302.41,43496.38,-650,-0.01,9203000
2024-04-16,43593.36,44126.76,42866,44126.76,1100,0.02,15771800
2024-04-15,45775.45,46017.91,42866,43059.96,-3000,-0.06,16220800
2024-04-12,44078.27,46017.91,43738.83,45969.42,2300,0.05,14342300
2024-04-11,43690.34,44272.23,43593.36,43738.83,-550,-0.01,14375200
2024-04-10,44611.67,45387.53,44223.74,44272.23,-150,0,7862900
2024-04-09,44126.76,44417.71,43835.81,44417.71,300,0.01,5734200
2024-04-08,43641.85,44466.2,43544.87,44126.76,300,0.01,10689400
2024-04-05,44126.76,44514.69,43787.32,43835.81,-800,-0.02,14385600
2024-04-04,45096.58,45339.03,44563.18,44611.67,-800,-0.02,11082712
2024-04-03,45969.42,46502.82,45387.53,45387.53,-850,-0.02,14928700
2024-04-02,46163.38,46551.31,45581.49,46211.87,200,0,28943770
2024-04-01,46114.89,46260.36,45436.02,46017.91,-100,0,11181000
2024-03-29,46502.82,46696.78,46114.89,46114.89,-450,-0.01,9046100
2024-03-28,47230.18,47230.18,46260.36,46551.31,2450,0.05,31095100
2024-03-27,44805.63,44805.63,43738.83,44175.25,-400,-0.01,5976700
2024-03-26,43447.89,44805.63,43156.94,44563.18,1150,0.03,10522020
2024-03-25,44223.74,44999.6,42817.51,43447.89,-100,0,15385900
2024-03-22,44126.76,44126.76,42720.52,43544.87,-200,0,14213201
2024-03-21,41314.29,43738.83,41314.29,43738.83,2800,0.07,19640600
2024-03-20,39180.68,41168.81,38841.25,41023.34,2000,0.05,18239500
2024-03-19,38986.72,39180.68,38404.83,39083.7,200,0,5943900
2024-03-18,39956.54,39956.54,38210.87,38889.74,-1300,-0.03,15643100
2024-03-15,40005.03,40392.96,39180.68,40150.5,0,0,7540800
2024-03-14,40829.38,40829.38,40005.03,40150.5,-600,-0.01,7845500
2024-03-13,39956.54,40732.39,39714.08,40732.39,800,0.02,20370300
2024-03-12,39132.19,40053.52,38889.74,39956.54,800,0.02,8877100
2024-03-11,39665.59,39956.54,38695.77,39180.68,-600,-0.01,11381600
2024-03-08,41168.81,41314.29,39762.58,39762.58,-1600,-0.04,22687300
2024-03-07,41556.74,41993.16,41120.32,41314.29,-150,0,7986600
2024-03-06,40780.89,42187.12,40538.43,41459.76,550,0.01,14401800
2024-03-05,40538.43,40926.36,40150.5,40926.36,350,0.01,8545500
2024-03-04,40489.94,40926.36,40102.01,40586.92,0,0,9481800
2024-03-01,40441.45,40586.92,40005.03,40586.92,-350,-0.01,12690100
2024-02-29,41168.81,41168.81,40102.01,40926.36,0,0,12513100
2024-02-28,40780.89,41071.83,40295.98,40926.36,250,0.01,8417600
2024-02-27,40150.5,40683.9,39762.58,40683.9,750,0.02,9845001
2024-02-26,38986.72,40247.48,38986.72,39956.54,1100,0.03,12975800
2024-02-23,39520.12,41071.83,38792.76,38889.74,-200,0,25428600
2024-02-22,37822.94,39132.19,37774.45,39083.7,1300,0.03,12753200
